Shape,Cut,Color,Clarity,Carat Weight,Length/Width Ratio,Depth %,Table %,Polish,Symmetry,Girdle,Culet,Length,Width,Height,Price,Type,Fluorescence
Oval,,E,VS1,1.11,1.42,62.6,60,Excellent,Excellent,Medium to Slightly Thick,None,8.29,5.83,3.65,1080,IGI Lab-Grown,None
Oval,,G,VS1,1,1.45,62.2,60,Very Good,Very Good,Medium to Thick,None,8.02,5.52,3.43,5180,GIA,None
Princess,Ideal,G,VS2,1,1.01,73.4,71,Excellent,Very Good,Medium to Slightly Thick,None,5.61,5.54,4.06,3050,GIA,None
Radiant,,G,VS2,1.21,1.3,69.2,68,Very Good,Excellent,Thick to Very Thick,None,7.02,5.4,3.74,5190,GIA,None
Heart,,F,VS1,3.22,1.12,55.3,61,Excellent,Excellent,Medium to Slightly Thick,None,9.32,10.46,5.79,5750,GIA Lab-Grown,
Cushion,Ideal,E,VVS2,2.06,1.01,68.5,64,Excellent,Excellent,Thin to Slightly Thick,Pointed,7.38,7.34,5.03,3600,IGI Lab-Grown,None
Round,Excellent,H,VS2,1.05,1,61.2,58,Excellent,Excellent,Medium,None,6.54,6.57,4.01,3890,GIA,None
Heart,,E,VVS1,1.32,1.07,59.6,60,Excellent,Excellent,Medium to Thick,None,6.95,7.42,4.42,2060,GIA Lab-Grown,
Heart,,E,IF,1.09,1.04,60.3,59,Very Good,Very Good,Slightly Thick to Extremely Thick,None,6.58,6.85,4.13,9550,GIA,Faint
Princess,Ideal,E,VS1,1.08,1.02,72.6,72,Excellent,Excellent,Slightly Thick to Thick,None,5.63,5.5,3.99,1070,GIA Lab-Grown,
Oval,,D,VS1,1.01,1.66,62.5,63,Excellent,Very Good,Slightly Thick to Very Thick,None,8.79,5.31,3.32,4820,GIA,None
Oval,,G,VS2,1.02,1.56,55,63,Excellent,Very Good,Thick to Very Thick,None,8.65,5.55,3.06,4820,GIA,None
Princess,Very Good,D,VS2,1.01,1.05,76.3,71,Good,Very Good,Thick,None,5.62,5.36,4.09,3750,GIA,None
Round,Very Good,H,VS2,1,1.01,63,57,Good,Good,Medium to Thick,None,6.34,6.41,4.02,3930,GIA,None
Pear,,F,VS2,1,1.55,63.4,62,Very Good,Very Good,Slightly Thick to Very Thick,None,8.53,5.52,3.5,4210,GIA,None
Marquise,,E,VS2,1.52,1.75,65.5,54,Excellent,Very Good,Slightly Thick to Very Thick,None,10.56,6.05,3.97,11640,GIA,None
Princess,Ideal,E,VS1,1.01,1.01,74,74,Excellent,Excellent,Thick to Very Thick,None,5.42,5.36,3.96,4050,GIA,None
Marquise,,D,VS1,1.1,2.01,59.9,58,Excellent,Excellent,Medium to Slightly Thick,Pointed,11.03,5.48,3.28,1190,IGI Lab-Grown,None
Oval,,G,VS2,1,1.4,64.6,60,Excellent,Very Good,Medium to Very Thick,None,7.62,5.44,3.51,1190,GIA,Faint
Oval,,E,VS2,1.04,1.42,62,61,Excellent,Excellent,Medium to Slightly Thick,None,8.13,5.74,3.56,4150,GIA,Strong
Radiant,,H,VS2,1.01,1.22,73.6,66,Very Good,Excellent,Slightly Thick to Very Thick,None,5.89,4.83,3.55,2790,GIA,None
Marquise,,F,IF,1.3,1.96,58.7,60,Excellent,Very Good,Slightly Thick to Very Thick,None,11.37,5.81,3.41,9810,GIA,Faint
Cushion Modified,Ideal,D,VVS2,2.94,1.03,67.9,63,Very Good,Excellent,Slightly Thick to Thick,None,8.44,8.16,5.54,5730,GIA Lab-Grown,
Princess,Ideal,F,VS1,1.03,1.01,68.9,67,Excellent,Excellent,Medium,Pointed,5.7,5.62,3.87,1080,IGI Lab-Grown,None
Radiant,,D,VS1,1.05,1.41,69,68,Excellent,Excellent,Medium to Slightly Thick,None,7.31,5.19,3.58,1120,GIA Lab-Grown,
Princess,Ideal,G,VVS2,1.03,1.01,71.4,72,Excellent,Excellent,Slightly Thick to Thick,None,5.47,5.43,3.88,3210,GIA,Faint
Princess,Ideal,E,VS1,1,1,71.1,73,Excellent,Excellent,Thick to Very Thick,None,5.44,5.42,3.85,3580,GIA,Faint
Pear,,E,VS1,1.1,1.61,61.9,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,9.26,5.75,3.56,1100,IGI Lab-Grown,None
Marquise,,H,VS2,1,1.8,65.3,58,Excellent,Very Good,Medium to Very Thick,None,9.38,5.21,3.4,3590,GIA,Medium
Cushion Modified,Ideal,E,VS1,3.09,1.02,66.4,63,Excellent,Excellent,Slightly Thick to Thick,None,8.5,8.34,5.54,6720,GIA Lab-Grown,
Marquise,,D,VS2,1.01,1.78,58.7,64,Excellent,Very Good,Thick to Very Thick,None,9.82,5.51,3.24,5020,GIA,None
Oval,,F,VS1,1.11,1.46,60.3,58,Excellent,Excellent,Medium to Slightly Thick,None,8.62,5.92,3.57,1060,GIA Lab-Grown,
Cushion Modified,Ideal,E,VS1,2.02,1.02,66.1,60,Excellent,Excellent,Medium to Very Thick,None,7.47,7.3,4.83,3120,GIA Lab-Grown,
Oval,,D,VS2,1.01,1.55,57.6,66,Excellent,Very Good,Medium to Slightly Thick,None,8.67,5.61,3.23,4640,GIA,None
Cushion Modified,Very Good,H,VS2,1,1.1,67.9,63,Excellent,Excellent,Slightly Thick to Thick,None,5.84,5.32,3.61,2390,GIA,None
Princess,Ideal,D,VS1,1.07,1.01,72.5,68,Excellent,Excellent,Medium,Pointed,5.49,5.46,3.96,1150,IGI Lab-Grown,None
Round,Very Good,H,VS1,1.02,1,62.9,59,Excellent,Very Good,Thin to Slightly Thick,None,6.41,6.43,4.04,3940,GIA,Faint
Radiant,,D,VS2,1.02,1.36,68.5,67,Excellent,Very Good,Slightly Thick to Thick,None,6.63,4.89,3.35,4090,GIA,None
Pear,,F,VS1,1.07,1.64,60.5,60,Excellent,Excellent,Medium,Pointed,9.33,5.69,3.44,1060,IGI Lab-Grown,None
Marquise,,E,VVS2,1.81,2.14,58,59,Excellent,Very Good,Slightly Thick to Very Thick,None,13.6,6.36,3.69,21100,GIA,Faint
Princess,Ideal,D,VS1,1,1.01,72,65,Excellent,Excellent,Medium,Pointed,5.57,5.5,3.96,1080,IGI Lab-Grown,None
Oval,,D,VS1,1.01,1.4,62.6,61,Excellent,Very Good,Medium to Thick,None,7.97,5.69,3.56,1020,GIA Lab-Grown,
Princess,Very Good,H,VVS1,1.06,1.01,72.1,76,Excellent,Excellent,Medium to Slightly Thick,None,5.81,5.73,4.13,3410,GIA,None
Pear,,E,VS1,1.08,1.57,62.5,58,Excellent,Excellent,Medium to Slightly Thick,Pointed,9.05,5.78,3.61,1090,IGI Lab-Grown,None
Round,Excellent,H,VS2,1,1.01,63.6,57,Excellent,Very Good,Medium to Slightly Thick,None,6.25,6.34,4.01,3630,GIA,None
Oval,,E,VS1,1.06,1.49,61.7,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.54,5.72,3.53,1030,IGI Lab-Grown,None
Radiant,,F,VVS1,1.01,1.26,69.8,68,Excellent,Excellent,Slightly Thick to Thick,None,6.27,4.99,3.48,4230,GIA,None
Princess,Very Good,F,VVS2,1.01,1,70.7,76,Excellent,Very Good,Medium to Slightly Thick,None,5.61,5.61,3.97,3910,GIA,None
Pear,,E,VS1,1.12,1.74,58.7,60,Excellent,Excellent,Slightly Thick to Thick,None,9.99,5.74,3.37,1120,GIA Lab-Grown,
Radiant,,E,VS1,1.29,1.25,65.2,66,Excellent,Excellent,Medium,Pointed,7.23,5.77,3.76,1250,IGI Lab-Grown,None
Pear,,E,VS2,1.01,1.51,65.4,61,Excellent,Very Good,Thick to Very Thick,None,8.34,5.51,3.6,4280,GIA,None
Marquise,,F,VVS1,1.03,1.98,61.9,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.55,5.33,3.3,1350,IGI Lab-Grown,None
Marquise,,G,VS1,1.02,1.91,59.7,61,Excellent,Very Good,Medium to Thick,None,10.36,5.42,3.23,5560,GIA,None
Pear,,E,VVS2,1.01,1.58,61.4,60,Excellent,Excellent,Medium to Slightly Thick,None,8.83,5.59,3.43,5000,GIA,Faint
Round,Excellent,E,VS1,1.55,1.01,61.7,57,Excellent,Excellent,Medium,None,7.41,7.45,4.58,1770,GIA Lab-Grown,
Round,Excellent,D,VS1,1.54,1,60.6,58,Excellent,Excellent,Medium to Slightly Thick,None,7.45,7.48,4.53,1800,GIA Lab-Grown,
Pear,,E,VS1,1.02,1.7,60.8,66,Excellent,Very Good,Slightly Thick to Very Thick,None,9.1,5.35,3.25,3370,GIA,Medium
Oval,,E,VS2,1,1.4,64.2,61,Excellent,Excellent,Thin to Very Thick,None,7.75,5.52,3.54,4740,GIA,None
Heart,,D,VS1,3.17,1.11,57.8,60,Excellent,Excellent,Medium to Thick,None,9.26,10.26,5.93,7300,GIA Lab-Grown,
Radiant,,F,VS1,1.05,1.43,67.3,66,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.17,5.01,3.37,1080,IGI Lab-Grown,None
Radiant,,F,VS1,1.13,1.42,66.9,63,Excellent,Excellent,Medium,Pointed,7.36,5.17,3.46,1160,IGI Lab-Grown,None
Marquise,,F,VS1,1.03,1.99,59.6,62,Excellent,Very Good,Thick to Very Thick,None,10.65,5.34,3.18,6120,GIA,Faint
Cushion Modified,Ideal,D,VVS2,1.57,1.04,69.6,61,Excellent,Excellent,Thin to Thick,Pointed,6.9,6.62,4.61,2590,IGI Lab-Grown,None
Round,Excellent,E,VS1,1.52,1,61.4,57,Excellent,Excellent,Medium to Slightly Thick,None,7.39,7.42,4.55,1730,GIA Lab-Grown,
Princess,Ideal,G,VVS2,1.07,1,71.5,74,Excellent,Very Good,Thin to Medium,None,5.75,5.74,4.1,3310,GIA,None
Cushion Modified,Ideal,D,VVS1,2.71,1.02,66.5,61,Excellent,Excellent,Medium to Thick,None,8.02,7.86,5.23,6410,GIA Lab-Grown,
Radiant,,F,VS1,1,1.46,68.6,61,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.13,4.87,3.34,1040,IGI Lab-Grown,None
Pear,,D,VS1,1.02,1.64,60.3,61,Excellent,Excellent,Medium to Slightly Thick,None,9.29,5.67,3.42,1110,GIA Lab-Grown,
Pear,,D,VVS1,1.04,1.6,59.9,61,Excellent,Excellent,Medium to Thick,None,9.16,5.73,3.44,1860,GIA Lab-Grown,
Pear,,E,VS1,1,1.65,62.7,60,Excellent,Excellent,Thin to Thick,None,9,5.45,3.41,3280,GIA,Strong
Princess,Ideal,E,VVS2,1.02,1,72.7,67,Excellent,Excellent,Medium,Pointed,5.45,5.43,3.95,1190,IGI Lab-Grown,None
Marquise,,D,VVS2,1.2,2.16,66.6,55,Very Good,Very Good,Medium to Very Thick,None,11.27,5.22,3.47,8620,GIA,None
Marquise,,E,VVS2,1.04,1.96,60.4,60,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.56,5.38,3.25,1500,IGI Lab-Grown,None
Marquise,,E,VVS2,1.03,2.01,59.1,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.77,5.35,3.16,1250,IGI Lab-Grown,None
Princess,Ideal,G,VS2,1.01,1.01,70.1,72,Excellent,Excellent,Slightly Thick to Thick,None,5.58,5.52,3.87,3100,GIA,None
Heart,,D,VS1,1,1.2,61.6,59,Excellent,Very Good,Slightly Thick to Very Thick,None,5.78,6.95,4.28,4580,GIA,None
Radiant,,F,VS1,1.01,1.42,68.2,63,Excellent,Excellent,Medium,Pointed,7.01,4.93,3.36,1050,IGI Lab-Grown,None
Oval,,E,IF,1,1.41,60.9,59,Excellent,Excellent,Slightly Thick to Thick,None,7.98,5.65,3.44,1050,GIA,Strong
Pear,,E,VS1,1.04,1.57,61.1,60,Excellent,Excellent,Slightly Thick to Thick,None,9,5.72,3.5,1050,GIA Lab-Grown,
Oval,,E,VS1,1,1.34,64.9,62,Excellent,Very Good,Medium to Very Thick,None,7.38,5.52,3.58,5090,GIA,Faint
Round,Excellent,D,VS1,1.53,1,62.4,57,Excellent,Excellent,Medium,None,7.35,7.36,4.59,1790,GIA Lab-Grown,
Round,Excellent,H,VS2,1.01,1,62.1,57,Excellent,Excellent,Medium to Slightly Thick,None,6.39,6.41,3.97,4040,GIA,None
Marquise,,D,VVS2,1.06,1.91,61.7,60,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.45,5.48,3.38,1370,IGI Lab-Grown,None
Cushion Modified,Ideal,D,VVS1,1.18,1.03,65.8,62,Excellent,Excellent,Medium to Thick,None,6.24,6.03,3.96,2060,GIA Lab-Grown,
Heart,,D,VVS2,3.77,1.14,57,58,Excellent,Excellent,Medium to Thick,None,9.66,11.01,6.27,10700,GIA Lab-Grown,
Princess,Ideal,E,VVS2,1.04,1.01,72.7,70,Excellent,Excellent,Medium,Pointed,5.49,5.43,3.95,1210,IGI Lab-Grown,None
Heart,,D,VS1,3.03,1.13,57.4,61,Excellent,Excellent,Slightly Thick to Thick,None,8.98,10.13,5.81,6980,GIA Lab-Grown,
Cushion,Ideal,D,VS1,2.09,1.01,66,61,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.47,7.42,4.9,3570,IGI Lab-Grown,None
Oval,,D,VS1,1,1.45,62.1,57,Excellent,Excellent,Thin to Slightly Thick,Pointed,8.19,5.65,3.51,1060,IGI Lab-Grown,None
Cushion Modified,Very Good,H,VS2,1.01,1.14,70,63,Excellent,Excellent,Medium to Thick,None,6.17,5.4,3.78,2090,GIA,None
Radiant,,H,VVS1,1.06,1.3,68.5,64,Excellent,Excellent,Thick,None,6.63,5.09,3.49,3570,GIA,None
Pear,,E,VS1,1.11,1.57,62.9,56,Excellent,Excellent,Medium,Pointed,9.06,5.77,3.63,1110,IGI Lab-Grown,None
Cushion,Ideal,E,VS1,1.63,1.05,69.7,63.5,Excellent,Excellent,Medium to Thick,Pointed,6.89,6.56,4.57,2150,IGI Lab-Grown,None
Pear,,E,VS1,1.02,1.55,60.5,62,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.92,5.75,3.48,1030,IGI Lab-Grown,None
Heart,,D,IF,2.01,1.16,58.4,60,Excellent,Excellent,Thin to Slightly Thick,None,7.73,8.94,5.22,10550,GIA Lab-Grown,
Round,Excellent,H,VS1,1,1.02,60,62,Excellent,Very Good,Medium to Slightly Thick,None,6.4,6.5,3.87,10550,GIA,None
Cushion Modified,Ideal,E,VS1,1.55,1.01,65.8,61,Excellent,Excellent,Slightly Thick to Thick,None,6.75,6.71,4.42,4930,GIA Lab-Grown,
Pear,,E,VS1,1.12,1.54,62.4,61,Excellent,Excellent,Medium,Pointed,9.06,5.88,3.67,1120,IGI Lab-Grown,None
Radiant,,F,VS1,1.08,1.24,67.7,63,Excellent,Excellent,Slightly Thick,None,6.72,5.41,3.66,1050,GIA Lab-Grown,
Round,Excellent,E,VS1,1.59,1,61.6,57,Excellent,Excellent,Medium to Slightly Thick,None,7.48,7.51,4.61,1810,GIA Lab-Grown,
Heart,,D,VS1,1,1.19,59.8,61,Excellent,Very Good,Slightly Thick to Very Thick,None,5.87,7,4.19,3840,GIA,Strong
Pear,,E,VS1,1.07,1.61,61.5,62,Excellent,Excellent,Medium to Slightly Thick,Pointed,9.23,5.72,3.52,1080,IGI Lab-Grown,None
Emerald,,H,VVS1,1,1.34,69.3,65,Excellent,Very Good,Thick to Very Thick,None,6.41,4.79,3.32,2750,GIA,None
Marquise,,D,VS1,1.09,1.95,62.3,58,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.63,5.46,3.4,1190,IGI Lab-Grown,None
Pear,,E,VS1,1.1,1.6,61.8,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,9.2,5.74,3.55,1100,IGI Lab-Grown,None
Oval,,D,VS1,1.01,1.47,61.9,60,Very Good,Excellent,Medium to Thick,None,8.28,5.63,3.49,1020,GIA Lab-Grown,
Pear,,D,VS1,1.03,1.58,63.4,58,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.76,5.54,3.51,1120,IGI Lab-Grown,None
Oval,,E,VS1,1.06,1.49,62.7,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.49,5.68,3.56,1030,IGI Lab-Grown,None
Round,Excellent,H,VS2,1,1.01,61,61,Excellent,Excellent,Slightly Thick,None,6.42,6.46,3.93,4120,GIA,None
Pear,,F,VS2,1,1.48,63.4,60,Excellent,Excellent,Thick to Very Thick,None,8.27,5.59,3.55,4230,GIA,None
Oval,,D,VS1,1.02,1.41,62.5,59,Excellent,Excellent,Medium,Pointed,8.07,5.74,3.59,1080,IGI Lab-Grown,None
Marquise,,H,VS1,1,1.98,64.8,58,Excellent,Excellent,Slightly Thick to Thick,None,10.14,5.12,3.32,5920,GIA,None
Cushion Modified,Ideal,D,VVS2,1.83,1,65.3,60,Excellent,Excellent,Thin to Slightly Thick,None,6.99,6.98,4.56,5920,GIA Lab-Grown,
Heart,,H,VS1,1.5,1.14,59.7,61,Excellent,Very Good,Slightly Thick to Thick,None,6.94,7.91,4.72,7300,GIA,None
Radiant,,E,VVS2,1,1.47,68.2,63,Excellent,Excellent,Medium,Pointed,7.16,4.88,3.33,1150,IGI Lab-Grown,None
Cushion,Ideal,D,VVS2,1.5,1,66.5,64,Excellent,Excellent,Medium to Slightly Thick,Pointed,6.57,6.54,4.35,2990,IGI Lab-Grown,None
Radiant,,F,VS1,1.08,1.45,65.7,63,Excellent,Excellent,Slightly Thick,Pointed,7.29,5.04,3.31,1050,IGI Lab-Grown,None
Marquise,,D,VS1,1.06,1.98,62.2,56,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.58,5.34,3.32,1160,IGI Lab-Grown,None
Heart,,E,VS1,4.23,1.12,53.2,59,Excellent,Excellent,Medium to Slightly Thick,None,10.37,11.62,6.19,9750,GIA Lab-Grown,
Princess,Ideal,E,VVS2,1.04,1.01,72.6,69,Excellent,Excellent,Medium,Pointed,5.5,5.44,3.95,1210,IGI Lab-Grown,None
Heart,,E,VS2,1,1.21,57.5,57,Excellent,Very Good,Slightly Thick to Extremely Thick,None,5.73,6.96,4.01,5150,GIA,Faint
Oval,,F,VVS2,1.01,1.39,62.4,59,Excellent,Excellent,Medium to Thick,None,7.77,5.61,3.5,5210,GIA,Faint
Oval,,F,VS2,1,1.39,58.1,59,Excellent,Very Good,Slightly Thick to Thick,None,7.99,5.73,3.33,3720,GIA,Strong
Round,Excellent,H,VS2,1,1.01,60.5,59,Excellent,Excellent,Slightly Thick,None,6.45,6.49,3.92,3990,GIA,None
Princess,Ideal,G,VS2,1.02,1.01,69.1,72,Excellent,Very Good,Medium to Slightly Thick,None,5.68,5.63,3.89,4270,GIA,None
Princess,Ideal,H,VS2,1.01,1.02,70.1,70,Excellent,Very Good,Slightly Thick to Thick,None,5.65,5.53,3.88,2730,GIA,None
Pear,,D,VS1,1,1.46,67.6,57,Excellent,Very Good,Thick to Very Thick,None,8,5.47,3.69,3590,GIA,Faint
Radiant,,D,VS1,1.08,1.26,67.7,64,Excellent,Excellent,Medium,Pointed,6.75,5.36,3.63,1150,IGI Lab-Grown,None
Radiant,,F,VS1,1.05,1.46,67.9,65,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.23,4.96,3.37,1080,IGI Lab-Grown,None
Emerald,,H,VS2,1.01,1.37,68.1,66,Excellent,Very Good,Medium to Thick,None,6.56,4.79,3.27,2770,GIA,None
Round,Ideal,E,VS1,1.58,1.01,60.7,59,Excellent,Excellent,Medium,Pointed,7.48,7.53,4.55,1820,IGI Lab-Grown,None
Oval,,E,VS2,1.01,1.36,63,60,Excellent,Excellent,Slightly Thick to Very Thick,None,7.62,5.62,3.54,4150,GIA,Faint
Princess,Ideal,D,VS1,1.06,1.01,70.7,69,Excellent,Excellent,Medium,None,5.69,5.61,3.97,1140,GIA Lab-Grown,
Pear,,D,VS1,1.01,1.56,59.3,63,Excellent,Excellent,Medium to Thick,None,8.95,5.72,3.39,1100,GIA Lab-Grown,
Heart,,E,VS1,2.27,1.14,55.4,60,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.1,9.23,5.11,3550,IGI Lab-Grown,None
Heart,,F,VS2,1,1.22,58.1,55,Excellent,Very Good,Slightly Thick to Extremely Thick,None,5.74,7,4.07,4370,GIA,Medium
Princess,Ideal,D,VS1,1.05,1.02,70.2,69,Excellent,Excellent,Medium,Pointed,5.56,5.47,3.84,1130,IGI Lab-Grown,None
Heart,,D,VS1,1.54,1.1,58.3,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.22,7.91,4.61,2350,IGI Lab-Grown,None
Heart,,E,VVS2,1.13,1.18,58.1,63,Excellent,Excellent,Slightly Thick to Thick,None,6.25,7.38,4.29,6090,GIA,None
Marquise,,F,VVS1,2.37,2.03,60.8,59,Excellent,Excellent,Slightly Thick to Very Thick,None,13.98,6.89,4.19,35480,GIA,None
Princess,Ideal,E,VS2,1.02,1.01,74.9,71,Excellent,Excellent,Slightly Thick to Thick,None,5.53,5.49,4.11,3370,GIA,None
Pear,,H,VS1,1.01,1.65,61.7,58,Excellent,Very Good,Very Thick,None,8.62,5.22,3.22,3400,GIA,None
Princess,Ideal,D,VS1,1.07,1.01,70.7,67,Excellent,Excellent,Medium to Slightly Thick,Pointed,5.6,5.56,3.93,1150,IGI Lab-Grown,None
Princess,Ideal,H,VVS2,1,1,73.7,74,Excellent,Excellent,Thick to Very Thick,None,5.39,5.37,3.96,3190,GIA,Faint
Princess,Ideal,H,VS2,1,1.02,73.7,72,Excellent,Very Good,Thick,None,5.41,5.3,3.9,2700,GIA,Faint
Oval,,G,VVS2,1.01,1.4,65.7,57,Excellent,Very Good,Slightly Thick to Very Thick,None,7.66,5.48,3.61,2700,GIA,Faint
Heart,,D,VVS1,1.03,1.1,56.2,62.5,Excellent,Excellent,Medium to Slightly Thick,Pointed,6.41,7.08,3.98,1870,IGI Lab-Grown,None
Princess,Ideal,E,VS1,1.07,1.01,71.2,70,Excellent,Excellent,Medium,Pointed,5.54,5.49,3.91,1060,IGI Lab-Grown,None
Oval,,D,VS1,1.01,1.38,61.3,58,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.94,5.76,3.53,1070,IGI Lab-Grown,None
Princess,Ideal,G,VVS2,1.02,1.02,72.3,72,Excellent,Very Good,Medium to Slightly Thick,None,5.73,5.62,4.06,3950,GIA,None
Cushion,Ideal,D,VVS1,1.02,1.02,64.1,64,Excellent,Excellent,Slightly Thick to Very Thick,Pointed,5.85,5.71,3.66,2470,IGI Lab-Grown,None
Pear,,E,VS1,1.09,1.59,60.6,60,Very Good,Excellent,Medium to Slightly Thick,None,9.3,5.84,3.54,1040,GIA Lab-Grown,
Round,Excellent,E,VS1,1.58,1,60.4,58,Excellent,Excellent,Medium,None,7.53,7.55,4.56,1800,GIA Lab-Grown,
Round,Excellent,H,VS1,1,1.01,61.7,62,Excellent,Excellent,Thin to Slightly Thick,None,6.34,6.39,3.93,4150,GIA,None
Heart,,F,VS2,1.01,1.11,60.6,61,Excellent,Excellent,Slightly Thick to Thick,None,6.2,6.89,4.18,4270,GIA,None
Pear,,D,VS2,1,1.48,64.4,60,Excellent,Excellent,Slightly Thick to Very Thick,None,8.2,5.55,3.57,4320,GIA,None
Emerald,,H,VVS2,1,1.3,71.5,69,Excellent,Excellent,Thick to Very Thick,None,6.26,4.82,3.45,2520,GIA,None
Marquise,,D,VS1,1.04,1.97,63.9,61,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.3,5.24,3.35,1140,IGI Lab-Grown,None
Round,Excellent,H,VVS2,1.03,1.01,62.7,57,Excellent,Excellent,Medium to Slightly Thick,None,6.4,6.46,4.03,3780,GIA,Medium
Oval,,D,VS1,1.01,1.43,63.2,57,Excellent,Very Good,Thin to Slightly Thick,None,8.06,5.65,3.57,1020,GIA Lab-Grown,
Princess,Ideal,G,VS2,1.01,1.01,71.8,71,Excellent,Excellent,Medium to Slightly Thick,None,5.58,5.53,3.97,2720,GIA,Faint
Radiant,,E,VVS2,1.01,1.06,70.7,69,Very Good,Very Good,Slightly Thick,None,5.69,5.37,3.79,5140,GIA,Faint
Heart,,D,VS2,1.01,1.03,55.2,55,Very Good,Very Good,Thin to Thick,None,6.63,6.86,3.79,6060,GIA,None
Heart,,E,VS1,2.36,1.14,54.7,60,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.38,9.58,5.24,3690,IGI Lab-Grown,None
Marquise,,F,IF,1,2.18,62.5,,,,,,,,,6370,GIA,None
Cushion Modified,Ideal,F,VS1,2.55,1.04,69.1,66,Excellent,Excellent,Slightly Thick to Very Thick,None,7.87,7.59,5.25,4980,GIA Lab-Grown,
Pear,,D,VS1,1.02,1.71,59.7,61,Excellent,Excellent,Medium to Slightly Thick,Pointed,9.61,5.61,3.35,1110,IGI Lab-Grown,None
Princess,Ideal,G,IF,1,1,71.5,72,Excellent,Excellent,Thick to Very Thick,None,5.5,5.49,3.92,3810,GIA,None
Heart,,D,VVS1,1.34,1.17,57.6,57,Excellent,Excellent,Medium to Slightly Thick,Pointed,6.59,7.72,4.45,2550,IGI Lab-Grown,None
Emerald,,H,VS2,1.01,1.39,67.2,62,Excellent,Excellent,Medium to Thick,None,6.73,4.85,3.26,2840,GIA,Faint
Pear,,E,VS1,1.05,1.61,61.9,60,Excellent,Excellent,Medium to Slightly Thick,Pointed,9.12,5.67,3.51,1060,IGI Lab-Grown,None
Oval,,H,VS2,1.01,1.4,64.7,58,Very Good,Very Good,Thick to Very Thick,None,7.72,5.52,3.57,3680,GIA,None
Round,Excellent,H,VS1,1,1.01,58.9,62,Excellent,Excellent,Medium to Slightly Thick,None,6.49,6.54,3.84,4040,GIA,None
Princess,Ideal,G,VS1,1.04,1.03,69.5,73,Excellent,Very Good,Thick,None,5.74,5.6,3.89,3450,GIA,None
Square Radiant,,D,VS1,1.08,1,66.7,64,Excellent,Excellent,Slightly Thick to Thick,None,5.65,5.63,3.76,1150,GIA Lab-Grown,
Round,Ideal,D,VS1,1.58,1.01,61.1,58,Excellent,Excellent,Medium,Pointed,7.47,7.51,4.58,1850,IGI Lab-Grown,None
Princess,Ideal,G,VVS1,1.01,1,73.1,75,Excellent,Very Good,Thick to Very Thick,None,5.45,5.45,3.98,3450,GIA,None
Heart,,E,VS1,5.01,1.11,59.4,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.52,11.71,6.95,12560,IGI Lab-Grown,None
Princess,Ideal,H,VVS1,1,1.01,74.7,71,Excellent,Excellent,Thick to Very Thick,None,5.34,5.29,3.95,3140,GIA,None
Radiant,,H,VS1,1.01,1.27,68.3,68,Excellent,Excellent,Thick to Very Thick,None,6.37,5.01,3.43,3350,GIA,None
Marquise,,E,VS1,1.08,2.04,62.7,60,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.88,5.33,3.34,1090,IGI Lab-Grown,None
Marquise,,E,VS1,1.22,1.93,62.7,61,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.9,5.65,3.54,1210,IGI Lab-Grown,None
Radiant,,H,VVS2,1.02,1.33,68.9,67,Excellent,Excellent,Slightly Thick to Thick,None,6.83,5.15,3.55,3120,GIA,None
Heart,,D,VS1,2.04,1.14,60.5,59,Excellent,Excellent,Slightly Thick to Thick,None,7.6,8.63,5.23,3580,GIA Lab-Grown,
Heart,,F,VS2,1,1.15,59,60,Very Good,Very Good,Thick to Very Thick,None,5.98,6.88,4.06,4180,GIA,None
Pear,,G,VS1,1.01,1.5,60.9,61,Excellent,Excellent,Slightly Thick to Thick,None,8.47,5.66,3.45,4420,GIA,Medium
Radiant,,G,VVS1,1.02,1.44,67.5,63,Excellent,Excellent,Medium to Slightly Thick,None,7.06,4.91,3.32,3520,GIA,Faint
Marquise,,D,VS1,1.07,1.95,61.9,58,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.52,5.4,3.34,1170,IGI Lab-Grown,None
